	LSIE_05 INDOOR				video part 1 duration: 		video part 2 duration:															
	0:30:03.059	0:10:53.799	0:11:42.575	702.575007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON5												
	0:30:05.964	0:10:56.704	0:11:45.480	705.480007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF5												
	0:30:07.133	0:10:57.873	0:11:46.649	706.649007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON6												
	0:30:08.836	0:10:59.576	0:11:48.352	708.352007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF6												
		0:11:00.627	0:11:49.403	709.403207	Behavioral Event	Purposeful	Subject dancing on treadmill (bouncing steps)	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Onset)"	ActDanceLON												
		0:11:10.136	0:11:58.912	718.912207	Behavioral Event	Purposeful	Subject dancing on treadmill (bouncing steps)	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Offset)"	ActDanceLOFF												
		0:11:11.338	0:12:00.114	720.114207	Behavioral Event	Purposeful	Subject dancing on treadmill (weaving body)	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Torso, Onset)"	ActDanceTON												
	0:30:22.796	0:11:13.536	0:12:02.312	722.312007	Environmental Event	Distractor	Subject looks at platform to side of screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Platform, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON7												
		0:11:14.841	0:12:03.617	723.617207	Behavioral Event	Purposeful	Subject dancing on treadmill (weaving body)	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Torso, Offset)"	ActDanceTOFF												
	0:30:24.199	0:11:14.939	0:12:03.715	723.715007	Environmental Event	Distractor	Subject looks at platform to side of screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Platform, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF7												
	0:30:25.768	0:11:16.508	0:12:05.284	725.284007	Environmental Event	Distractor	"Subject looks at experimenter (proximity=near), female, young adult"	duration on 	"(Event/Category/Real World Stimulus, Object/Complex/Person/Experimenter/1, Sensory Presentation/Visual, Sensory Presentation/Auditory/Real World Sounds/Pedestrian, Participant/Effect/Visual/Foveal,Onset)"	Ped1VFON1												
	0:30:26.136	0:11:16.876	0:12:05.652	725.652007	Environmental Event	Distractor	"Subject looks at experimenter (proximity=near), female, young adult"	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Person/Experimenter/1, Sensory Presentation/Visual, Sensory Presentation/Auditory/Real World Sounds/Pedestrian, Participant/Effect/Visual/Foveal,Offset)"	Ped1VFOFF1												
		0:11:19.546	0:12:08.322	728.322207	Behavioral Event	Purposeful	Subject dancing on treadmill (weaving body)	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Torso, Onset)"	ActDanceTON												
		0:11:22.082	0:12:10.858	730.858207	Behavioral Event	Purposeful	Subject dancing on treadmill (weaving body)	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Torso, Offset)"	ActDanceTOFF												
	0:30:38.025	0:11:28.765	0:12:17.541	737.541007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON8												
	0:30:40.096	0:11:30.836	0:12:19.612	739.612007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF8												
		0:11:51.177	0:12:39.953	759.953207	Behavioral Event 	Purposeful 	Subject lifts both arms	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Both/Lift, Offset)"	ArmLiftBOFF												
		0:11:51.311	0:12:40.087	760.087207	Behavioral Event 	Purposeful 	Subject lifts left arm	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Left/Lift, Onset)"	ArmLiftLON												
		0:11:54.347	0:12:43.123	763.123207	Behavioral Event 	Purposeful 	Subject lifts left arm	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Arm/Left/Lift, Offset)"	ArmLiftLOFF												
		0:11:57.550	0:12:46.326	766.326207	Behavioral Event	Purposeful	Subject dancing on treadmill (using arms and bouncing steps)	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Participant/Action/Body Part/Arm/Both/Lift, Onset)"	ActDanceBON												
		0:12:06.659	0:12:55.435	775.435207	Behavioral Event	Purposeful	Subject dancing on treadmill (using arms and bouncing steps)	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Participant/Action/Body Part/Arm/Both/Lift, Offset)"	ActDanceBOFF												
		0:12:06.659	0:12:55.435	775.435207	Behavioral Event	Purposeful	Subject dancing on treadmill (bouncing steps)	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Onset)"	ActDanceLON												
		0:12:18.238	0:13:07.014	787.014207	Behavioral Event	Purposeful	Subject dancing on treadmill (using arms and bouncing steps)	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Participant/Action/Body Part/Arm/Both/Lift, Onset)"	ActDanceBON												
	0:31:32.796	0:12:23.536	0:13:12.312	792.312007	Behavioral Event	Purposeful	Subject hums	duration on	"(Event/Category/Participant Response, Participant/Action/Type/Hum, Onset)"	ActHumON												
		0:12:24.077	0:13:12.853	792.853207	Behavioral Event	Purposeful	Subject dancing on treadmill (using arms and bouncing steps)	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Participant/Action/Body Part/Arm/Both/Lift, Offset)"	ActDanceBOFF												
		0:13:00.447	0:13:49.223	829.223207	Behavioral Event	Purposeful	Subject dancing on treadmill (bouncing steps)	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Offset)"	ActDanceLOFF												
	0:32:10.300	0:13:01.040	0:13:49.816	829.816007	Environmental Event	Distractor	Subject looks at platform to side of screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Platform, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON9												
	0:32:11.002	0:13:01.742	0:13:50.518	830.518007	Environmental Event	Distractor	Subject looks at platform to side of screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Platform, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF9												
		0:13:15.929	0:14:04.705	844.705207	Behavioral Event	Purposeful	Subject dancing on treadmill (using arms and bouncing steps)	duration on	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Participant/Action/Body Part/Arm/Both/Lift, Onset)"	ActDanceBON												
		0:13:39.452	0:14:28.228	868.228207	Behavioral Event	Purposeful	Subject dancing on treadmill (using arms and bouncing steps)	duration off	"(Event/Category/Participant Response, Participant/Action/Body Part/Legs, Participant/Action/Body Part/Arm/Both/Lift, Offset)"	ActDanceBOFF												
	0:32:49.608	0:13:40.348	0:14:29.124	869.124007	Behavioral Event	Purposeful	Subject hums	duration off	"(Event/Category/Participant Response, Participant/Action/Type/Hum, Offset)"	ActHumOFF												
	0:32:50.577	0:13:41.317	0:14:30.093	870.093007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON10												
	0:32:51.378	0:13:42.118	0:14:30.894	870.894007	Environmental Event	Distractor	Subject looks at ground below screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Ground, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF10												
	0:32:55.620	0:13:46.360	0:14:35.136	875.136007	Environmental Event	Distractor	Subject looks at platform to side of screen (proximity=near)	duration on	"(Event/Category/Real World Stimulus, Object/Complex/Platform, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Onset)"	ObjVFON11												
	0:32:56.421	0:13:47.161	0:14:35.937	875.937007	Environmental Event	Distractor	Subject looks at platform to side of screen (proximity=near)	duration off	"(Event/Category/Real World Stimulus, Object/Complex/Platform, Sensory presentation/Visual, Participant/Effect/Visual/Foveal, Offset)"	ObjVFOFF11												
