Event Number	Event Type	Label and Description Tags	Part 1	Part 2	Part 3	Combined
2121	Behavioral | Button Push | WMI Button | Onset	"Event/Label/WMI Button, Event/Description/Commander Presses WMI Button "	"Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Button press/Touch screen ~ Participant/Effect/Body part/Arm/Hand/Finger)"	Event/Long name/Behavioral | Button Push | WMI Button | Onset	Attribute/Onset	"Event/Label/WMI Button, Event/Description/Commander Presses WMI Button , Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Button press/Touch screen ~ Participant/Effect/Body part/Arm/Hand/Finger), Event/Long name/Behavioral | Button Push | WMI Button | Onset, Attribute/Onset"
2122	Behavioral | Button Push | WMI Button | Offset	"Event/Label/WMI Button, Event/Description/Commander Presses WMI Button "	"Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Button press/Touch screen ~ Participant/Effect/Body part/Arm/Hand/Finger)"	Event/Long name/Behavioral | Button Push | WMI Button | Offset	Attribute/Offset	"Event/Label/WMI Button, Event/Description/Commander Presses WMI Button , Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Button press/Touch screen ~ Participant/Effect/Body part/Arm/Hand/Finger), Event/Long name/Behavioral | Button Push | WMI Button | Offset, Attribute/Offset"
						
2211	Behavioral | Commander Communicates | To FOB Net | Onset	"Event/Label/Cmdr FOB Comm, Event/Description/Commander Communicates to Forward Operating Base Net"	"Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English)"	Event/Long name/Behavioral | Commander Communicates | To FOB Net | Onset	Attribute/Onset	"Event/Label/Cmdr FOB Comm, Event/Description/Commander Communicates to Forward Operating Base Net, Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English), Event/Long name/Behavioral | Commander Communicates | To FOB Net | Onset, Attribute/Onset"
2212	Behavioral | Commander Communicates | To FOB Net | Offset	"Event/Label/Cmdr FOB Comm, Event/Description/Commander Communicates to Forward Operating Base Net"	"Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English)"	Event/Long name/Behavioral | Commander Communicates | To FOB Net | Offset	Attribute/Offset	"Event/Label/Cmdr FOB Comm, Event/Description/Commander Communicates to Forward Operating Base Net, Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English), Event/Long name/Behavioral | Commander Communicates | To FOB Net | Offset, Attribute/Offset"
2221	Behavioral | Commander Communicates | To Coalition Net | Onset	"Event/Label/Cmdr Coalition Comm, Event/Description/Commander Communicates to Coalition Net"	"Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English)"	Event/Long name/Behavioral | Commander Communicates | To Coalition Net | Onset	Attribute/Onset	"Event/Label/Cmdr Coalition Comm, Event/Description/Commander Communicates to Coalition Net, Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English), Event/Long name/Behavioral | Commander Communicates | To Coalition Net | Onset, Attribute/Onset"
2222	Behavioral | Commander Communicates | To Coalition Net | Offset	"Event/Label/Cmdr Coalition Comm, Event/Description/Commander Communicates to Coalition Net"	"Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English)"	Event/Long name/Behavioral | Commander Communicates | To Coalition Net | Offset	Attribute/Offset	"Event/Label/Cmdr Coalition Comm, Event/Description/Commander Communicates to Coalition Net, Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English), Event/Long name/Behavioral | Commander Communicates | To Coalition Net | Offset, Attribute/Offset"
2231	Behavioral | Commander Communicates | To Driver | Onset	"Event/Label/Cmdr To Driver Comm, Event/Description/Commander Communicates to Driver"	"Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English)"	Event/Long name/Behavioral | Commander Communicates | To Driver | Onset	Attribute/Onset	"Event/Label/Cmdr To Driver Comm, Event/Description/Commander Communicates to Driver, Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English), Event/Long name/Behavioral | Commander Communicates | To Driver | Onset, Attribute/Onset"
2232	Behavioral | Commander Communicates | To Driver | Offset	"Event/Label/Cmdr To Driver Comm, Event/Description/Commander Communicates to Driver"	"Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English)"	Event/Long name/Behavioral | Commander Communicates | To Driver | Offset	Attribute/Offset	"Event/Label/Cmdr To Driver Comm, Event/Description/Commander Communicates to Driver, Event/Category/Participant response, (Participant/Role/Commander ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English), Event/Long name/Behavioral | Commander Communicates | To Driver | Offset, Attribute/Offset"
						
2311	Behavioral | Driver Communicates | To Commander | Onset	"Event/Label/Driver To Cmdr Comm, Event/Description/Driver Communicates to Commander"	"Event/Category/Participant response, (Participant/Role/Driver ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English)"	Event/Long name/Behavioral | Driver Communicates | To Commander | Onset	Attribute/Onset	"Event/Label/Driver To Cmdr Comm, Event/Description/Driver Communicates to Commander, Event/Category/Participant response, (Participant/Role/Driver ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English), Event/Long name/Behavioral | Driver Communicates | To Commander | Onset, Attribute/Onset"
2312	Behavioral | Driver Communicates | To Commander | Offset	"Event/Label/Driver To Cmdr Comm, Event/Description/Driver Communicates to Commander"	"Event/Category/Participant response, (Participant/Role/Driver ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English)"	Event/Long name/Behavioral | Driver Communicates | To Commander | Offset	Attribute/Offset	"Event/Label/Driver To Cmdr Comm, Event/Description/Driver Communicates to Commander, Event/Category/Participant response, (Participant/Role/Driver ~ Action/Type/Speech, Attribute/Language/Sentence/Full, Attribute/Language/Family/Latin/English), Event/Long name/Behavioral | Driver Communicates | To Commander | Offset, Attribute/Offset"
